id,course_1,course_2,fall_courses_count,is_first_place,is_last_place
ed2b17f28f14014d17f90342b60a8c0fd55048aa91b9f8631239e010c3d4a476,Statistical Learning Theory,-,1,,
46c7e108aaec281bcd5f953ba65c5d33d632f32a1ba204b52695abcba6284cfa,???,-,1,,
1831f5bb344e828af3bdfa111edba410fcbbb16fdd37bb7ee222f61f9974b1c6,Язык SQL,-,1,,
c3e074a6773fc1ffe6bd22a2518736a85b7fee51dd5154c96652659f0a926648,Операционные системы 2,-,1,,
bcca318e644999583156ff3ab9de3d6bd02295dcb166e39006568ffe9582207b,Безопасность компьютерных систем,-,1,,
be9535b2b536b657f56210df5274fe9127cbfeb03038440088e833f6630eb67e,Язык SQL,-,1,,
30f01eea526bc1820b97f029121295046da34dd680a08717509ca5a2f3b4815d,Язык SQL,-,1,,
b67525ebc740834dc99204047335885d1cbe26c7eb5b514e76ce1998d5c1baba,Системы баз данных,-,1,,
dd78ebd42d9e2a1369e60eb6ecb8732e5874c0cf294c19f7528288e6c578c1c2,Дизайн систем,-,1,,
372e990521df9488f677d38637768366b075e63821bb34a48897c3e8b32651bf,???,-,1,,
97455e75bc76a137f9fab7e66d26bc1c1aa9df065059b16099b54418522663be,Statistical Learning Theory,-,1,,
4c42d940db119dcad16608c7b6f0da2ef2edbbd0147ae688e2ab4cb4bbaae5e1,Statistical Learning Theory,-,1,,
03e2f673656b6649c74d58431f7766aeba77c1dcc92fbedf14acc2e301c629aa,Statistical Learning Theory,-,1,,
76d434cd72291e6228b060d267172ec4a29da5c6150ee69362a2f6f8398fa210,Операционные системы 2,-,1,,
4847d55f336efa24859bd8a552f9019c0c8e57097a0361a0ec93ea0c56b7dada,Трансформерные и мультимодальные модели,Self-supervised Learning,2,,
a22d4bef7ffd77cea1cff2ef35e701e2939924437902ce100140425db6f022e6,Язык SQL,-,1,,
218c5c8835d932d30a055c86d0c6c274c844e155f182e9f89d52884317f48ed0,Self-supervised Learning,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,
353926836033fb1c54c1cf4c9500acea8857a00af4070055e42cfab12d5994d0,Statistical Learning Theory,-,1,,
fb428d790947bd8e527b9d2cabc7629d6039a8b8a2e42d4361a67965fdd94913,Распределенные системы,-,1,,
139eb159aecabc92b72ae639694aaee2fd987b3035b4a02f63cd309f949c3e1f,Операционные системы 2,-,1,,
52a0895a22e19ab73c67a97f91c4e27f1900b4cc2aab099f9aee37bee88797fd,Глубинное обучение в обработке звука,Глубинное обучение для текстовых данных,2,,
c57e331c5216d84b00b3446eb79895f04dd0a0ff688395a2a55ce0a153eb0a6d,Системы баз данных,-,1,,
91110fa5d27b3d8de4dee3ddc92054aecdb98549290db30899acf5d01f60dff9,Основы разработки компьютерных игр,-,1,,
289897d0cf42b4b42c50300f94b8b86f913174ae972d96811a15b9eaa247e173,Распределенные системы,-,1,,
0c20b37d791c8fc9dbaee20dad30d293608c83de64866ff0517d39ff398be8ee,Разработка микросервисов на Go,-,1,,
522ab87fdee645a54f716386619e6c47387aed2ef3fa69ed99191a3c5169d97c,Распределенные системы,-,1,,
ea7ef403dac559ab7104360e524fabee3d9115649f1142509f6fe76b8dea7ace,Statistical Learning Theory,-,1,,
a54d1367c91fdd290f006ea398fba8e94d1ec9dcc342810f9b7080c9f70d73e3,Типы в языках программирования,-,1,,
43bf2fec8d21569f8ccd23cb210c678a5b7592df421da360b79ce63e9892d68d,???,-,1,,
1bc2e1f524085224216265c7c7d0b8d3a08cee07783b9f061e3563cb47cc7dbb,Безопасность компьютерных систем,-,1,,
2dc24dc9f0746a61093443321c0b5fe1ec00b84161af9c3fecb05927698e4f3e,???,-,1,,
b55ee12209223cc0727cbbd56e8de89519c1d548186b23d4b8230f252ddc99d9,Принятие решений в условиях риска и неопределенности,-,1,,
9346283793dd7227dd4a6089c6c1c9b2431844a9ff43895d05870b90d36f3fb8,Язык SQL,-,1,,
e791cb4f8a2c28464fcc6d852935348c3efad09dc99d61cad85def46dfa83c6a,???,-,1,,
92f4503e31c17e957f5c5ce045c496f440b0565d37f9aa6118f3e52e3826d0f7,Глубинное обучение для текстовых данных,Self-supervised Learning,2,true,
0819727ae3da796c1e6fc10171bfacddebce325490b94a966c60c233d7ab924f,Безопасность компьютерных систем,-,1,,
85cc073a9d0fc028bc28360976d39c0c2205131f9cf68d374a7eb7ba83cd6a84,Глубинное обучение в обработке звука,-,1,,
79675f74982b23ee6ee0767b75feb1bd9047a608316f77fee7d5f21c00d35254,Операционные системы 2,Дизайн систем,2,,
40c3044ac2c56f3b576601f705268518d3108798baacf268a7ec394c48192bef,Разработка микросервисов на Go,-,1,true,
76afba0b501a3a5daf3908ce7540cc5540f67ba94b120cd23e9570cb4f027168,???,-,1,,
5c5ec9578bcc882c10adcc2a05ce65c85554f1ea0404e826b760006f079f0490,???,-,1,,
1a5edbf8181b2d2bde6b42dbd51c8618796758682d37538445eb54f0aeb8b362,???,-,1,,
ca97e0f1003bf8077ac98ce2a76d9a9773123675f80c1f0f729bde1d0f624d3f,Глубинное обучение в обработке звука,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,
627df859a144dd23e678284449e2e474f30c651f504664634e4a33ef81b8ebf0,Байесовские методы в машинном обучении,Self-supervised Learning,2,,
70226ec3abc3e5665d875e841462c54c913310dd670c6d1d6914bfc7c78ad48f,Дизайн систем,-,1,,true
89a7e84d609e92c260af2230c8154995b7644f86a41fbe6ecb5940cb5c895ced,Введение в платформы данных,-,1,,
6cb612088236b0bafb24747b2ae860ed3415c896599b4612d20bc8aabf2ac1ec,Трансформерные и мультимодальные модели,Введение в платформы данных,2,,
0d9980a9c8ab55458071eb56ee1991a35d32b33b88fe30264944f496715d52ec,Язык SQL,-,1,,
94bfd2c8f7cdbca65959e6ae42c9e9e8a76807c5b0e3032da65d10b3da8f8fad,Глубинное обучение в обработке звука,Self-supervised Learning,2,,
f636b01092bb56b929a495ddf03d468c9197cb08051827728ac0b0ad54ab7eac,Безопасность компьютерных систем,-,1,,
45fdca8b5e61479eff90eeb4561ece8d9331fc007eb975526e1d82914b440291,Глубинное обучение для текстовых данных,Основы разработки компьютерных игр,2,,
38b478e5f358e3c72b4161b3c981e5b55c3a0a9988269bc288fc3a541f719bcf,Дизайн систем,-,1,,
3501992c6601498ed885bfbb2deefec9ca50a80cee87676697d2fc6507dc3707,Байесовские методы в машинном обучении,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,
90191629df2aed9035aacf0e6a2532d41f34a60da6b365e65f85f9731dedb7e0,???,-,1,,
6f431eb170fdb67c8a58121734b34f68bda77962b1a784de823fc7cee03918b5,Statistical Learning Theory,-,1,,
12cf8adb8993c25f276cfa029955814fe77b2b9de5464eaa956993bc368e37ef,Системы баз данных,-,1,,
79da3965a7836de9a314e56f4f632e7103ce3af0af5389f11bf6086dd0be75c3,Язык SQL,-,1,true,
7128ebc1d950a5ff9563b42e1cbede351b64fdc422c623084957941cc09eb4c1,Байесовские методы в машинном обучении,Глубинное обучение для текстовых данных,2,,
f677ce236730b156bb7ffdd7b512fd6f39a6f19586c49dcd8e585a325c977131,???,-,1,,
ffe8d06cea1659050c082aaa85799104d7619ca0e2e500ffcf508fdc6348cdd3,Распределенные системы,-,1,,
08036beac8f704653d8d9199d305f67de66317557070429a872470951f6a9904,Основы тензорных вычислений,-,1,,
ec5b044442f35321fb7de593cf28576c4190869e33968723ccdf31dc0723600a,Глубинное обучение в обработке звука,Self-supervised Learning,2,,
41e6b3d777b9c74c94e18616f49f7605f6789a38cf2a4da9b5f1261fa1a4fbab,Дизайн систем,-,1,,
86750caa19a7507b83a53059c6487eeef0270d71ac7713c32d64e551ef01c66e,Байесовские методы в машинном обучении,Основы разработки компьютерных игр,2,,true
027ed85baa13164987f5c30f6e4bdcb9c8f6566ca2d09d7bd2e3bf4b485a7928,Разработка микросервисов на Go,-,1,,
a16e5864ac1b43531899561b6ce50cb3b6407b4e2e2cad3a29da2cb6ebcb2806,Основы информационного поиска,-,1,,
edb64996c64421378537d941a77426a5a7bd84f9967ad9f523ca61386e5469ed,Операционные системы 2,-,1,,
48063f2b2d60f5a28901923e86746f96122326d90baebea750ecc404095fe9c1,Распределенные системы,-,1,,
ca01e9dbd36a94c42ff666b842e1f0630202d9af36c1999ed4f441db80feb4f4,Распределенные системы,-,1,,
f9ea5e817d10c1450d85bc1429dfc554afae89ba88e03563e44394e386a9128f,Введение в платформы данных,???,2,,
e3123e1128dd411f538a7cfc053941e14dcf37c02aad5f9eced286452d3ec05c,Основы информационного поиска,-,1,,
cafbec4fff4c9e69ac9a5497c07734373444d377c9eb424bcf109f6b83a117bd,Глубинное обучение в обработке звука,Байесовские методы в машинном обучении,2,,
8fe1990142aff4836ae3f30e4616afb93bdc34bad6e871110d5a6d1f41bafee6,Операционные системы 2,-,1,,
d80afbd958cc53a8aa18d9becbc65a3fd08866914c731926447a4d32f1ef9264,Введение в платформы данных,-,1,,
096b6c33dc664316be9b5995cf1d1b2ecd490ecf80e78f535d65391ff1a09e96,Системы баз данных,-,1,,
c14f28c20d41b0fc0d5685b6d215b39e4767291ddedb9db4bdf8aa0aedc73417,Операционные системы 2,-,1,,
04d6a9ba366ecb91599b034bffd658190a26ffb50a98627854366af9a33073a0,Self-supervised Learning,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,true,
c8c740abe7d66da6ba762ba08ac9bde1c1d3680e78c5835c8b81deeb46accd88,Глубинное обучение для текстовых данных,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,
a6ad42db3e5695a74778b213dd5114f70e8dad031ccf75e13c6d3fec408866a4,Системы баз данных,-,1,,
0c37fd689e9e666a88f9e484ac9fbe7d4aa6833761fa8e1f123656d84189f64e,Основы разработки компьютерных игр,-,1,,
c4277002951631ec6499555f3cf1d001649f01fe946c282dc372ee5bf38ac738,???,-,1,,
17e8e0ff3dc2f49b15739e90e665ffc0db809bba05b88059dd9530b02a742e8e,Введение в платформы данных,-,1,,
728f5ea9a475b008e3fd66e7cf5fc24a0a0ab1c9d1220b162204f93597287a3e,Основы разработки компьютерных игр,-,1,,
94bf27da5edf5697a440240c3bfcbd12aeba697f97eb094ed333307275fcc736,Язык SQL,-,1,,
8edbf92455432dd49c7966b801be12d587d00e8303735c15eb4218d919325b15,Распределенные системы,-,1,,
3ac99968900ca56bf6cd1cdec966d293affd36508e150838db3ae3274be9b4d7,Безопасность компьютерных систем,-,1,,
a887673b45ddf0c8473210e11a0b86f747b554b9791197e882a242ec9b778276,Язык SQL,-,1,,
7fd03b0936b01b7014e040aefc865701dc95cc3ea9e7d67f0c06a23afcfbe5dd,Распределенные системы,-,1,,
8a95d7276b95b8b9c4cf8a5b402e98617ad7452977f6e6f89dfcfc310af5e3a4,Разработка микросервисов на Go,-,1,,
54013801d35b7652e68baa943dd0d458639ba0600a478693f60a3ce5c072ad5a,Распределенные системы,-,1,,
532a78c1cc336e7ecb1d4189f1e2498d81fa1094a4dc665d9edb9813bb38b5db,Байесовские методы в машинном обучении,Байесовские методы в машинном обучении,2,,
b0e2e8c75d53eb58920b58332ae7f2405bba8f5bc105692d1711805c2ea99233,???,-,1,,
c180e1b0c27fc60682fb747a5004290c94804eb0afa638a8f42d8e1a75bcbcc5,Системы баз данных,-,1,,
0e60e06f5750f8601d5fb6f3097a7e77bde69d5dcbfdd06206f17f7052018d72,???,-,1,,
1d613ea9345f97f01a079aa01f5c452b12a8d1bee7f02ca15253d11e72086235,???,-,1,,
03fa81860250eb001e0eb9fa5a17835b43bab735d0aef72479ac254a235ee40f,Распределенные системы,-,1,,
f7f113333d13889093b621b953dd433c4fc32617f5ffa15e270dec520172bead,???,-,1,,
92508fe93e49574c8cba09ee1d7397397314251a52522e72726a64e7812577d3,Основы тензорных вычислений,-,1,true,
626f3ae963a471fc69b71e2f5ac3f5f8de93c37c8d6bf08f2114acdc22fb52d8,Дизайн систем,-,1,,
314de194384c19e5eb7de41a1d4907bdb7003c0ebba1b5395f3adc6089e5585e,Дизайн систем,-,1,,
315b49e62fe84feb7e337e888324a4a02f3cb638952565168bc2fbffbe2e92b1,Глубинное обучение для текстовых данных,Основы разработки компьютерных игр,2,,
ba30bb958c9ccc35ab47b40912c9c4d8adafd2963e13daf8d5d381f15f371c9b,Прикладная статистика в машинном обучении,-,1,,
42ef32b37d66a14a97548fbc4ef487bc7bb4ab9f53cf0dda9952b63d90ced15e,Системы баз данных,-,1,,true
db5ba35b6de8055d9c3795751a5d9090f1164ff0e60231a98157b6aab0e1b219,Операционные системы 2,-,1,,
4ce51851f03b6348057293ffea12a6839a381ecf5dad911449a8346847fdd159,Statistical Learning Theory,-,1,,
b315b92935edc5a3e9286170b5a5349a1284a634cc182e02b630e609578ce0ae,Байесовские методы в машинном обучении,Глубинное обучение для текстовых данных,2,,
a30be269d09b6427b5a005cd2fec03276ffd416d377a9e17b03e6e7059ce4201,Распределенные системы,-,1,,
17ae6f2c8db9c21237594b791f3a43aaec4920d876d269be32b33b18b501cb3b,???,-,1,,
c9822d76cb282d189ea9aa3ce92694134b0c0fb0e27ef57d0b09174a0caa47fb,Распределенные системы,-,1,,
15a368d1368e4fd9b6dc0f2bc9362f20b8cab6a543a1d67d1b8a21dc84ca5ce5,Основы разработки компьютерных игр,-,1,,
6a43e43c97292ddc20ee6204067168247e89eb0344adea971e18f1bebb51a212,Прикладная статистика в машинном обучении,-,1,,true
bae0ebbf1acc5e974a43e56b4a707fef37eb021bb02226a0d3855450e631555f,???,-,1,,
0d223588b0f2bc50094a0a577299a1a2da6e4b6b7cddc36e292dbe5f52d230f7,Байесовские методы в машинном обучении,Глубинное обучение для текстовых данных,2,,
2075180735f0273260529b9e83d13e7d680270c75aa24c90d52dc32dc4e0db9d,Системы баз данных,-,1,,
cf079281c1d79f1da6b5799f57079fc1d185158100fdc858c37ae5584bb6b20b,Системы баз данных,-,1,,
7b1644189ed3a7c36cae6b1228f23532a90fcb01c4b530e03e6807ac1b7c4613,Байесовские методы в машинном обучении,Глубинное обучение для текстовых данных,2,,
afec8e73fdb8986842dcb4c5aec0cb0bb1decaae0fff5dafbfc3e9f6be4c4fc0,Распределенные системы,-,1,,
d7fda175534e0ce5a5014841824caaddf65d180adf7e4cf53b3f6ecbd0fcc9dd,Дизайн систем,-,1,,
194eaf21b52441c75d57fff447a5126b0dd1d460060e922577ec2bed8bab8677,Основы тензорных вычислений,-,1,,
1a839aea491d75693c030b712452dcd9215457a97d2f86c6c9cdfcf76af3d5e7,Глубинное обучение для текстовых данных,Трансформерные и мультимодальные модели,2,true,
df680eec5ed6c654542a440825dd2fb6028b84e840258025fb687217c7f097c5,???,-,1,,
9ce7660425b7435d3f5f215c3cd44e5dd1d3bcd87e46ffefd3e8d46092bc6138,Функциональное программирование,-,1,,true
2544dc60963d6d83c17cfe537fee2b031813aba6d459e046867aa4835048cf93,Дизайн систем,-,1,,
1ebed7a96b21d1ce0a579e461a0bd60155a0970421640eb3d2355c5a44c2fff6,???,-,1,,
ebc2505ac729ff1cc6c5fb016d061ad6f9f0ffff16b7fc7faf5d2b3a63f0cc7e,Байесовские методы в машинном обучении,Self-supervised Learning,2,,true
3689f87c5df6aef83a2bd55b92a7576535a1da484982a26a8137de9881b2f908,Байесовские методы в машинном обучении,Глубинное обучение для текстовых данных,2,,
2921ba088a34b07d3577e3fc0c70c35663b5b044649847bff81abd97d0b6427e,Трансформерные и мультимодальные модели,Принятие решений в условиях риска и неопределенности,2,,
427ca3e803f65cb06fb0eed57069bcb3a010b813d524365c3d488e23fe33e14b,Прикладная статистика в машинном обучении,-,1,,
608ea5e2d96325dcbbd6fcf65e1dac13279c5f3fc2d0a2dc161cc8cd81616205,Глубинное обучение в обработке звука,Трансформерные и мультимодальные модели,2,,
b85899afb074b4a4c334a0d6d1c1e948e12898aea567d440421ca6828b74808b,Глубинное обучение для текстовых данных,Безопасность компьютерных систем,2,,
625c135ad02d9d4bd7925763c480ea343bba2d449bc42bca666211f62b9aad51,Глубинное обучение в обработке звука,Дизайн систем,2,,
e77f566bcf2db2de3083af171ae15f76c1c8adfb78e871c9292845383774b675,Введение в платформы данных,-,1,,
1a09d5aeac4e288fe086cee1bd4fd5e6a5621e4f2a83a623451d83f9d43b71fb,???,-,1,,
c108c3ffa120501e3537acf9c4bedadb4048649f3cdef69cf00e031a73c96561,Дизайн систем,Безопасность компьютерных систем,2,,
1b8da904a3533b19c6011c56ad02fcb2ab8e281e60d8ed4c27eb1deabf64ef34,Дизайн систем,-,1,,
0b66b14bc0fae70f998b76662b70ae2006c2f1ae363534a1aa537620d81aa966,Байесовские методы в машинном обучении,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,true
474bb5554761abd9566666a31fcf896a36e156db6a7d37b4ae2d84f9f8ab5ab9,Системы баз данных,-,1,,
6f716c137ef7a75aabe9b5cc4cda4c7523f02da57b94c52bffcbf1c837af48d0,Основы разработки компьютерных игр,-,1,,
3c9b54f540340defff5a851ae501f763a3ecaeb4b3e594dcb7123da6704c717f,Введение в платформы данных,-,1,,
330df17dbb7c4f0651d6ced20f90d8147824f130c8dce33facb0463a9d32ed14,Системы баз данных,-,1,true,
c27494c13a97647dd1f5505bfcb26bbea99a26d5379fbe0a0b90192542196a47,???,-,1,,
9cd7d89336c6da380fb89dac30aba109633fada9b5926d0a22919ad02dee6794,Системы баз данных,-,1,,
f0be509325f2e4dde7f85e32621a357db8dbd07522142fee7c8602e6ea67bc06,Глубинное обучение в обработке звука,Трансформерные и мультимодальные модели,2,,
c90d1031fcdff500c59cab5d23132ce41a44456ca3c66cc0bb96da0dd14ab670,Распределенные системы,-,1,,
a5e1b3610301a216e733333b7ea3e67eee33c7114195a789c90c523f45e1b07e,Системы баз данных,-,1,,
29daba3b2e5e32893594d14e38848e460b2712f4ff5ca91fe5f3bedb3eb4c82c,Функциональное программирование,-,1,,
6b286e3b92577d9b741431f07989181afd4bc70b5196a2e74916b785b38ced29,???,-,1,,
b83a61e0fb2b8045ee174646e7f78188f719a480056ba9a01af2d8ff22559aac,Statistical Learning Theory,-,1,,
4e39d067ee5b8eb8fb163486f72d89fa735b0fd5a32c357041269be8e7389e03,Распределенные системы,-,1,,
f42a865b14eff1fdb64525c6fd2f6b86e66c23db0d8062a5fd48e933a081f740,Дизайн систем,-,1,,
1107cb34832723b91e2dee89481a99b0d09c0605222dc60aabf62b4cfad90c60,Глубинное обучение в обработке звука,Трансформерные и мультимодальные модели,2,,
acb47d76f3aa4524fba24b7e9feabea1f2ad78104dfd0155f46145d8871b978d,Байесовские методы в машинном обучении,Генеративные модели на основе диффузии / Diffusion-Based Generative Models,2,,
07816e53236a6a9993a3b100de9899fc601feb555445b2c71e06eb0202d915e1,Основы информационного поиска,-,1,,
68e3e62f6e017e43094bb63b4dde0b0229564cece838b5f1812637c922002f80,Разработка микросервисов на Go,-,1,,
766bb1ff3a864524669b423ee4ca9c650b7e33e74b593dcbfba12e51c223155d,Глубинное обучение в обработке звука,-,1,true,
6c1d5af0d528071d48154e5d78a2b865bc809ad3828c64333041ca3f17f6a175,Self-supervised Learning,Безопасность компьютерных систем,2,,
36cd34b8b9cd5e44f29724607286653f440fb7784e6db417781955640c7857d3,Глубинное обучение для текстовых данных,-,1,,
18b2e3f22341a710bc89ceeaafb3045a17a9eafe748b9fdf7fdccaecd0499e0a,Основы разработки компьютерных игр,-,1,true,
08f7d2901f4ded7a554ddde63f95e12e3298b5f210942c6c2f4f0835358346b5,Распределенные системы,-,1,,
fa7030f36c81ad8bc8924d8b7ad547cc037f6eb2f5a257b4f9d657d11b237659,???,-,1,,
64554560207a068df2543023d644f244395d5edb55846dbc579afad7d2753369,Распределенные системы,-,1,,
c55f5783886325b777c2c86c94c59b8ad63d462654efa34703ce6b1e72db4d5c,Язык SQL,-,1,,
18b7939af7af41025f00fa7257347193f77e82ce5978836653a57729f0fe90dd,Системы баз данных,-,1,,
2d338aa8d0a611914affea55468df575d43aad9a23ddb95db4041434d3a703e8,Глубинное обучение для текстовых данных,Глубинное обучение в анализе графовых данных,2,true,
b8ab1a4ad4926caca7b82f8d1d11b2a014248fc054cda7249b9963125ae8db4e,Дизайн систем,-,1,,
4f78954d1a79b2fa3287619b48325cd207283a90b7683d6cd9b8ed05543e3986,???,-,1,,
ad4f2591f6c525b01b4267b293784e63b75e769020769c5b8b7b0d291bf233f4,Язык программирования Scala,-,1,true,true
b9cd19957beed52a7c636590cb420a5706f849874ff4f7738ee378d4164d32b3,Глубинное обучение для текстовых данных,Основы разработки компьютерных игр,2,,
24bb19d6264544d577e9c50bf1bc410b6322f20b3f81029f3745996e09e66c39,Язык SQL,-,1,,
6e3f36529a8113c5d35e364e6a480368fb309d5ef334f008c070ec493b27e157,Язык SQL,-,1,,
6f55e5871cd9cffb3fba8b1606eb5e33b42ebacc17b8e19d62514e31ec2592a3,Функциональное программирование,-,1,true,
6e1190bb70002259960601e0c4984c1c068a2d88c508f546a5f9dea676342143,Безопасность компьютерных систем,-,1,true,
baec53d7fc5bd7f0a848535d22da5f0956dbe11cef75c49e36d2aad6edf4e07f,Системы баз данных,-,1,,
27dbfcc1880f3d7b722d6249c2def0ee7b44d5fd9033778454f775e777d1ec93,Дизайн систем,-,1,true,
afcd52c59f1bfedcd5415fbdf19cb410e68de8a37687d8f5e98b148319a319a9,Введение в платформы данных,-,1,,
88095cb857e1383fec81ce7fb539cc1ee7332d46e9b9982db52ee23272be1ca7,Системы баз данных,-,1,,
fd9e56667275c376fd4349cbc7d049bf77d0602a6b3aacf106b2d102f5c53026,Язык SQL,-,1,,
7319ff7a9a7bc003284b43c3c08419ac2b78851bf7961d691ebb51a9b19d1b77,Типы в языках программирования,-,1,,
f20fbabbe393e5f0322e144ab20a21b987e1104f06353a000922f416120d46fc,Распределенные системы,-,1,true,
f8a45fae1196a7e776a6037832417f3260a63483789551c087f64efa541faf8f,Язык SQL,-,1,,
5e7a59ebf7be537441422cd774461509a06c169c1a27909db98f18eb7632be68,Операционные системы 2,Основы разработки компьютерных игр,2,,
4b05a8ad1db4653b5f51058a7b47b9a69bf4e661881bd1a57d8de4c1778a5d94,Принятие решений в условиях риска и неопределенности,-,1,true,
b6e2079be3a03e7048f4c356b67dc874c1ac19c92825e9c91edb87f5157a5ef1,Дизайн систем,-,1,,
e5843c0bb5667f44f6c2b9638d0d79c1251fa14fe17441f38b7985a456bc7568,Байесовские методы в машинном обучении,Self-supervised Learning,2,,
3238a450b615f4f9d5a56180909e3e3bc4f0ba8e9f41de2a02bbd21b4b605e5b,???,-,1,,
9af407c36d838bc89a39d9608187ffa452c55f44ae45c69d2b3e167fe7651efc,Принятие решений в условиях риска и неопределенности,-,1,,true
93bd09ce2dc45ef0253d1a241062ddaacf9396c85a405e02f4d9900d4a36da87,Разработка микросервисов на Go,-,1,,
3982de41a556b0c4d824494e28c35a5f235ce3c6c191c4e268dd087d08c4353c,Глубинное обучение для текстовых данных,-,1,,
e9989257f9293425a557fba5290d5c3aeeaa70eb73effeaf48131c4f7915d6fe,Распределенные системы,-,1,,
9eb3a2843ad66ca2dfd5560f81d1870d8b694a2025ca443b068bababa9181a21,Основы информационного поиска,-,1,,
69c23d81afb1431da28fdec9e1edf407dbca5ab0fab273826634114d7b8cd91b,Введение в платформы данных,-,1,true,
70b7847978323ede047ee884261c905e192cb5afff2a841029a278b10626710d,???,-,1,,
